accession	phylum	class	species
GB_GCA_038871545	Nanobdellota	Nanobdellia	0-14-0-80-44-23 sp038874135
GB_GCA_017609625	Iainarchaeota	Iainarchaeia	1-14-0-10-31-34 sp017609625
GB_GCA_018829335	Iainarchaeota	Iainarchaeia	1-14-0-10-31-34 sp018829335
GB_GCA_024277355	Iainarchaeota	Iainarchaeia	1-14-0-10-31-34 sp024277355
GB_GCA_018652085	Nanobdellota	Nanobdellia	1-14-0-10-32-24 sp018655525
GB_GCA_002762795	Nanobdellota	Nanobdellia	1-14-0-10-37-12 sp002762795
GB_GCA_002762985	Nanobdellota	Nanobdellia	1-14-0-10-44-13 sp002762985
GB_GCA_019057815	Asgardarchaeota	Heimdallarchaeia	18H4-34 sp019057815
GB_GCA_022865455	Thermoproteota	Bathyarchaeia	20-14-0-80-47-9 sp022865455
GB_GCA_020854775	Nanobdellota	Nanobdellia	21-14-0-10-32-9 sp020854775
GB_GCA_005884195	Thermoproteota	Bathyarchaeia	40CM-2-53-6 sp005884195
GB_GCA_005888635	Thermoproteota	Bathyarchaeia	40CM-2-53-6 sp005888635
GB_GCA_005888745	Thermoproteota	Bathyarchaeia	40CM-2-53-6 sp005888745
GB_GCA_005888755	Thermoproteota	Bathyarchaeia	40CM-2-53-6 sp005888755
GB_GCA_035656295	Thermoproteota	Bathyarchaeia	40CM-2-53-6 sp035656295
GB_GCA_035935655	Thermoproteota	Bathyarchaeia	40CM-2-53-6 sp035935655
GB_GCA_019058035	Asgardarchaeota	Lokiarchaeia	6H3-1 sp019058015
GB_GCA_019058135	Asgardarchaeota	Lokiarchaeia	6H3-1 sp019058135
GB_GCA_029856045	Asgardarchaeota	Lokiarchaeia	6H3-1 sp029856045
GB_GCA_030606485	Asgardarchaeota	Lokiarchaeia	6H3-1 sp030606485
GB_GCA_018475625	Thermoproteota	Bathyarchaeia	A05DMB-2 sp018475625
GB_GCA_017857545	Thermoproteota	Thermoprotei	AAA261-N23 sp000375685
GB_GCA_000389735	Thermoproteota	Thermoprotei_A	Acd1 sp000389735
RS_GCF_009428885	Thermoproteota	Thermoprotei_A	Acidianus ambivalens
RS_GCF_000632495	Thermoproteota	Thermoprotei_A	Acidianus copahuensis
RS_GCF_000213215	Thermoproteota	Thermoprotei_A	Acidianus hospitalis
RS_GCF_009729545	Thermoproteota	Thermoprotei_A	Acidianus infernus
RS_GCF_002116695	Thermoproteota	Thermoprotei_A	Acidianus manzaensis
RS_GCF_021655615	Thermoproteota	Thermoprotei_A	Acidianus sp021655615
RS_GCF_003201765	Thermoproteota	Thermoprotei_A	Acidianus sulfidivorans
GB_GCA_027318145	Nanobdellota	Nanobdellia	Acidifodinimicrobium mancum
RS_GCF_000144915	Thermoproteota	Thermoprotei_A	Acidilobus saccharovorans
GB_GCA_022759325	Thermoproteota	Thermoprotei_A	Acidilobus sp000495735
RS_GCF_003431325	Thermoproteota	Thermoprotei_A	Acidilobus sp003431325
