accession	ogt	genome_size	gc_content	frac_ilvwygerkp	ratio_charged_polar	trna_gc	phylum	class	species
GCA_000008085	95.6603136690735	967642.420658388	31.56	0.653931713573781	1.708	72.7088301065927	Nanobdellota	Nanobdellia	Nanoarchaeum equitans
GCA_000145985	86.6077862772587	1942986.01760746	35.69	0.635448863813758	1.434	69.2039917061803	Thermoproteota	Thermoprotei_A	Ignisphaera aggregans
GCA_000166095	84.7713961731215	1267552.24793557	31.64	0.633871180002735	1.658	65.017807833722	Methanobacteriota	Methanobacteria	Methanothermus fervidus
GCA_000200715	24.4310745677009	2313969.22380629	57.37	0.568294377376197	1.335	60.3754785417931	Thermoproteota	Nitrososphaeria	Cenarchaeum symbiosum
GCA_000204585	32.7148031966434	1903487.59798132	31.92	0.574580282625846	1.159	57.3374273252391	Thermoproteota	Nitrososphaeria	Nitrosarchaeum limnae
GCA_000230955	44.2663830725013	3229738.5620915	66.43	0.558328151641928	1.533	61.8145446896746	Halobacteriota	Halobacteria	Halobacterium sp000230955
GCA_000246735	15.5983072067072	2456427.46638105	51.46	0.538728000744948	1.044	58.4126859130122	Thermoplasmatota	Poseidoniia	MGIIa-L1 sp000246735
GCA_000247545	95.4034820099241	2495340.79348932	55.05	0.634873999398881	1.703	70.0823490545062	Thermoproteota	Thermoprotei	Pyrobaculum oguniense
GCA_000270325	63.468153949512	1900438.66591295	51.65	0.614255826061039	1.416	67.5386184409779	Thermoproteota	Nitrososphaeria_A	Caldarchaeum subterraneum_A
GCA_000306725	41.7450912443346	3103493.58650641	44.61	0.576474434478312	1.25	60.4834826034692	Halobacteriota	Methanosarcinia	Methanolobus psychrophilus
GCA_000309865	45.7573360626419	2620064.9561546	38.59	0.588495697348487	1.245	61.0501235229411	Methanobacteriota	Methanobacteria	Methanobacterium sp000309865
GCA_000350305	45.104059406173	1585056.41136906	58.3	0.567945667729318	1.411	59.6165080147397	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp000350305
GCA_000387965	95.654243819732	1175354.31512272	24.33	0.636941634021926	1.281	65.650706777754	Nanobdellota	Nanobdellia	Nanobdella stetteri
GCA_000402075	28.3234594438548	1281845.40389972	35.66	0.576594561962427	1.232	58.3477008973289	Thermoproteota	Nitrososphaeria	Nitrosopelagicus sp000402075
GCA_000437835	48.7626718654988	1727861.60194688	55.73	0.570549329986556	1.459	59.9062673110349	NA	NA	NA
GCA_000494105	52.6727503906367	2313235.59150657	31.94	0.610608142778784	1.441	53.2869387285132	Nanobdellota	Nanobdellia	SCGC-AAA011-G17 sp000402515
GCA_000495695	77.9726608839267	1547051.61570158	58.71	0.621741421982362	1.441	72.5793902750007	Thermoproteota	Thermoprotei_A	Acidilobus sp028276005
GCA_000495715	82.1889523134822	1595647.37370358	58.07	0.623368329001862	1.46	72.5328358422083	NA	NA	NA
GCA_000496135	31.0868355022692	1816942.77273225	38.39	0.581818781337779	1.09	60.1105442909602	Thermoplasmatota	Thermoplasmata	GCA-000496135 sp000496135
GCA_000508305	75.9368471347659	2136040.60913706	36.3	0.622501832113854	1.259	66.5539194242409	Thermoproteota	Thermoprotei_A	Sulfolobus acidocaldarius_A
