accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count	phylum	class	species
RS_GCF_000485535.1	0	98.72	0.11	Specific	99.84	0.43	359	f__Halobacteriaceae (UID84)	235	100	3153351	86.69010952033513	36	2278221	62.63171177471926	3637498	RS_GCF_000196895.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halalkalicoccaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali	type strain of species	LPSN	f	5	5	589879	589879	316244	1	2904	NZ_AXZD01000013.1	316244	1	105	NZ_AXZD01000013.1	2904	5363	0	100	CP002062.10379.13287	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus jeotgali B3	101041	103928	t	f	f	266214	266214	Scaffold	ASM48553v1	na	PRJNA224116	SAMN02440736	36	266214	Korea	2013-10-25	GCA_000485535.1	none	full	na	none	none	0	0	Halalkalicoccus jeotgali B3	3723	na	3	35	5	266214	147148	64246	2013/10/25	1	413810	1	B3	DOE Joint Genome Institute	795797	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali;x__Halalkalicoccus jeotgali B3	10	3637498	11	49	assembly from type material	3637488	0	AXZD00000000.1	3860	35	316244	1	none	none	none	none	none	none	1473	NZ_AXZD01000013.1	1473	2721	0	100	CP002062.13692.15164	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus jeotgali B3	10	19	48	0	Halobacteriota	Halobacteria	Halalkalicoccus jeotgali
RS_GCF_003385755.1	6	99.99	0.09	Specific	100	0.25	188	p__Euryarchaeota (UID3)	125	25	1536669	89.88697071814511	7	846102	49.49805892717993	1709557	RS_GCF_000008645.1	f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus	type strain of species	LPSN	f	1	1	914953	1110228	5160	1	3019	NZ_QREL01000005.1	112145	1	117	NZ_QREL01000004.1	3019	5517	0	99.669	AE000666.1604016.1607044	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;Methanothermobacter thermautotrophicus str. Delta H	244195	341911	t	f	f	914953	1110228	Scaffold	ASM338575v1	na	PRJNA224116	SAMN08769621	7	914953	Russia	2018-08-14	GCA_003385755.1	none	full	na	none	none	0	0	Methanothermobacter defluvii	none	representative genome	3	5	1	1110228	344883	137141	2018/08/14	2	49339	1	DSM 7466	DOE Joint Genome Institute	49339	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii	187	1709557	11	38	assembly from type material	1709370	0	QREL00000000.1	1788	5	5160	1	none	none	none	none	none	none	1479	NZ_QREL01000005.1	1479	2726	0	99.932	AE000666.1602210.1603688	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;Methanothermobacter thermautotrophicus str. Delta H	187	19	38	0	Methanobacteriota	Methanobacteria	Methanothermobacter thermautotrophicus
GB_GCA_021654395.1	0	94.41	0.24	Specific	83.88	0	149	k__Archaea (UID2)	107	0	738689	90.69911927105652	1	277376	34.057308159358776	814439	GB_GCA_021654395.1	t	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__ARM-1;s__ARM-1 sp021654395	not type material	none	f	1	1	814439	814439	814439	1	2836	AP024486.1	none	0	none	none	2834	1816	0	78.723	MOEG01000017.20227.23022	Archaea;Micrarchaeota;Micrarchaeia;Micrarchaeales;Micrarchaeaceae;Candidatus Micrarchaeum;Candidatus Micrarchaeum acidiphilum ARMAN-1	814439	814439	f	f	t	814439	814439	Complete Genome	ARM1_1.0	na	PRJDB10619	SAMD00250048	none	none	Indonesia	2021-11-26	GCA_021654395.1	derived from metagenome	full	ARM-1	coculture originated from an Indonesian acidic hot spring	none	1	0	Candidatus Micrarchaeota archaeon	none	na	3	1	1	814439	814439	814439	2021/11/26	0	2250274	1	ARM-1	Department of Science and Engineering for Sustainable Development, Faculty of Science and Engineering, Soka University	2250274	d__Archaea;p__Candidatus Micrarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__DPANN group;p__Candidatus Micrarchaeota;x__unclassified Candidatus Micrarchaeota;s__Candidatus Micrarchaeota archaeon	0	814439	11	46	na	814439	0	na	826	1	814439	2	none	none	none	none	none	none	1054	AP024486.1	1057	972	0	83.444	AUZZ01000673.18.1505	Archaea;Micrarchaeota;Micrarchaeia;Micrarchaeales;Micrarchaeaceae;Candidatus Micrarchaeum;mine drainage metagenome	0	19	45	0	Micrarchaeota	Micrarchaeia	ARM-1 sp021654395
RS_GCF_000328665.1	0	99.99	0.31	Specific	99.84	0.33	228	p__Euryarchaeota (UID49)	153	0	2345842	86.43444228159555	2	1136277	41.86704337820048	2714013	RS_GCF_000328665.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica	type strain of species	LPSN	t	1	1	2428904	2428904	2428904	2	2915	NC_019977.1	2428904	2	117	NC_019977.1	2915	5384	0	100	CP003362.2361236.2364156	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans hollandica DSM 15978	1357006	1357006	t	f	f	2428904	2428904	Complete Genome	ASM32866v1	na	PRJNA224116	SAMN02261367	none	none	Netherlands: The Dekkerswald Institute; Nijmegen	2012-12-28	GCA_000328665.1	none	full	na	Anaerobic top layer (5 to 10 cm) of sediment (depth; 50 cm) in a eutrophic freshwater pond at the Dekkerswald Institute; Nijmegen; The Netherlands	none	2	0	Methanomethylovorans hollandica DSM 15978	2574	representative genome	6	2	1	2428904	2428904	285109	2012/12/28	0	101192	2	DSM 15978	JGI	867904	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica;x__Methanomethylovorans hollandica DSM 15978	0	2714013	11	52	assembly from type material	2714013	0	na	2638	2	2428904	2	none	none	none	none	none	none	1475	NC_019977.1	1449	2671	0	99.931	AF120163.1.1449	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans hollandica	0	19	52	0	Halobacteriota	Methanosarcinia	Methanomethylovorans hollandica
GB_GCA_027374575.1	9	96.31	0.06	General	82.24	0	149	k__Archaea (UID2)	107	0	1272139	90.01482393481714	14	614608	43.48910239264785	1413255	GB_GCA_021813435.1	f	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__UBA9642;g__UBA9642;s__UBA9642 sp021813435	not type material	none	f	2	2	549076	549076	none	0	none	none	549076	1	94	DAICMW010000001.1	none	none	none	none	none	none	100946	100946	f	f	t	271828	271828	Contig	ASM2737457v1	na	PRJNA834572	SAMN28406843	14	271828	China: Guangxi; Longshenao	2022-12-27	GCA_027374575.1	derived from metagenome	full	clean2613	sediment	24.83368 N 107.56887 E	0	none	Candidatus Woesearchaeota archaeon	none	na	none	none	none	none	none	none	2022/12/27	0	2026803	none	clean2613	an eLibrary of Microbial Systematics and Genomics	2026803	d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;x__unclassified Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon	0	1413255	none	none	na	1413255	0	DAICMW000000000.1	1476	14	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	44	0	Nanobdellota	Nanobdellia	UBA9642 sp021813435
GB_GCA_027448225.1	1	92.86	0.34	Specific	96.33	0.81	187	p__Euryarchaeota (UID3)	124	100	1597858	87.01939702942312	144	751036	40.901689251377036	1836209	GB_GCA_021826925.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAKAYB01;s__JAKAYB01 sp021826925	not type material	none	f	16	16	169180	169180	31544	4	2895	DAIDNX010000015.1	14997	2	116	DAIDNX010000036.1	2901	3797	0	90.383	ATMF01000013.26093.28997	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Incertae Sedis;Thermoplasmatales archaeon A-plasma	12751	12840	f	f	t	28112	28112	Scaffold	ASM2744822v1	na	PRJNA834572	SAMN28929162	144	28112	China: Guangdong; Fankou	2022-12-27	GCA_027448225.1	derived from metagenome	full	clean2743	sediment	25.05000 N 113.67000 E	0	none	Thermoplasmatales archaeon	none	na	none	143	16	28112	14353	5624	2022/12/27	1	2268204	none	clean2743	an eLibrary of Microbial Systematics and Genomics	2268204	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;s__Thermoplasmatales archaeon	10	1836209	none	none	na	1836199	0	DAIDNX000000000.1	1971	143	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10	19	53	0	Thermoplasmatota	Thermoplasmata	JAKAYB01 sp021826925
GB_GCA_027366715.1	0	99.04	2.11	Specific	96.33	0	187	p__Euryarchaeota (UID3)	124	0	1687641	88.36561615926787	36	709984	37.17507077821743	1909839	RS_GCF_900083515.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__Cuniculiplasma divulgatum	not type material	none	f	4	4	397848	397848	175521	1	2894	DAICVX010000019.1	53126	1	114	DAICVX010000026.1	2894	5345	0	100	LT671858.1873338.1876243	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum	53051	53051	t	f	f	175521	175521	Contig	ASM2736671v1	na	PRJNA834572	SAMN28407093	36	175521	China: Guangxi; Wuyi	2022-12-27	GCA_027366715.1	derived from metagenome	full	clean2885	sediment	25.14854 N 107.50044 E	0	none	Thermoplasmatales archaeon	none	na	none	none	none	none	none	none	2022/12/27	0	2268204	none	clean2885	an eLibrary of Microbial Systematics and Genomics	2268204	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;s__Thermoplasmatales archaeon	0	1909839	none	none	na	1909839	0	DAICVX000000000.1	1919	36	97585	1	none	none	none	none	none	none	1468	DAICVX010000027.1	1468	2712	0	100	LT671858.211764.213232	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum	0	19	46	0	Thermoplasmatota	Thermoplasmata	Cuniculiplasma divulgatum
GB_GCA_938091495.1	0	96.6	1.71	General	99.51	0.97	145	k__Archaea (UID2)	103	0	1237732	89.28113127384441	59	539242	38.89705993734541	1386331	GB_GCA_938091495.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JACAEJ01;g__JACAEJ01;s__JACAEJ01 sp938091495	not type material	none	f	14	14	99255	99255	34252	1	3024	CALLJF010000042.1	28091	1	110	CALLJF010000024.1	3083	2948	0	84.463	JQ085825.14669.17721	Archaea;Thermoproteota;Nitrososphaeria;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon W5-61a	23497	23497	f	f	t	29666	29666	Contig	S1_Bin_METABAT__299_1	na	PRJEB50838	SAMEA14074233	59	29666	none	2023-01-25	GCA_938091495.1	derived from metagenome	full	S1_Bin_METABAT__299_1	Seawater	none	0	none	uncultured Nitrososphaerales archaeon	none	na	none	none	none	none	none	none	2023/01/25	0	1740634	none	S1_Bin_METABAT__299_1	marine college, shandong university	1740634	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;x__environmental samples;s__uncultured Nitrososphaerales archaeon	0	1386331	none	none	na	1386331	0	CALLJF000000000.1	1645	59	34252	1	none	none	none	none	none	none	829	CALLJF010000042.1	779	1404	0	99.23	AY555832.1.1082	Archaea;Thermoproteota;Nitrososphaeria;SCGC AB-179-E04;Incertae Sedis;Incertae Sedis;uncultured archaeon	0	19	44	0	Thermoproteota	Nitrososphaeria	JACAEJ01 sp938091495
GB_GCA_038832395.1	0	96.89	0.18	Specific	99.05	1.27	245	c__Thermoprotei (UID148)	158	0	1223574	86.34973373286341	26	548836	38.74554010761631	1416998	GB_GCA_030549835.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__DSZV01 sp030549835	not type material	none	f	6	5	179518	190628	81388	1	3072	JAWBJP010000006.1	none	0	none	none	3089	3877	0	89.544	AB078016.2156.5238	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Acidilobaceae;Aeropyrum;Aeropyrum pernix	54481	67476	f	f	t	81902	115928	Scaffold	ASM3883239v1	na	PRJNA544494	SAMN36038937	26	81902	none	2024-04-30	GCA_038832395.1	derived from metagenome	full	GMQS_201907_bins_6	none	none	0	0	Acidilobaceae archaeon	none	na	3	21	5	115928	64251	26771	2024/04/30	5	2933264	1	GMQS_201907_bins_6	The University of Texas at Austin	2933264	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;x__unclassified Acidilobaceae;s__Acidilobaceae archaeon	484	1416998	11	45	na	1416514	0	JAWBJP000000000.1	1464	21	81388	1	none	none	none	none	none	none	1498	JAWBJP010000006.1	1373	2495	0	99.49	EU530580.1.1372	Archaea;Thermoproteota;Thermoproteia;Fervidicoccales;Fervidicoccaceae;Incertae Sedis;uncultured Aeropyrum sp.	484	19	45	0	Thermoproteota	Thermoprotei_A	DSZV01 sp030549835
RS_GCF_004104135.1	0	99.96	0.15	Specific	99.51	0	228	p__Euryarchaeota (UID49)	153	0	1700777	88.18164378447882	74	814416	42.2257248330499	1928720	RS_GCF_900215215.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus euhalobius	not type material	none	f	5	5	367623	367623	5244	1	2907	NZ_RRBA01000024.1	5244	3	115	NZ_RRBA01000024.1	2903	5293	0	99.587	FXBN01000001.268557.271459	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis FDF-1	26063	26063	t	f	f	109433	109433	Contig	ASM410413v1	na	PRJNA224116	SAMN07462262	74	109433	USA: Ohio	2019-01-23	GCA_004104135.1	none	full	na	hydraulically fractured well fluid	40.06 N 81.10000000 W	0	0	Methanohalophilus sp. WG1-DM	none	na	5	none	none	none	none	none	2019/01/23	0	2491675	1	WG1-DM	The Ohio State University	2491675	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;x__unclassified Methanohalophilus;s__Methanohalophilus sp. WG1-DM	0	1928720	11	48	na	1928720	0	RRBA00000000.1	2080	74	5244	1	none	none	none	none	none	none	1477	NZ_RRBA01000024.1	1477	2687	0	99.526	CP017881.2003649.2005131	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis	0	19	48	0	Halobacteriota	Methanosarcinia	Methanohalophilus euhalobius
