accession	domain	phylum	class	order	family	genus	species	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_000016605.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula	0	99.99	0.38	Specific	100.0	0.0	217	c__Thermoprotei (UID147)	168	0.0	1950859	89.01865693946249	1	1013036	46.22533158538127	2191517	RS_GCF_000016605.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	type strain of species	LPSN	t	1	1	2191517	2191517	2191517	1	3032	NC_009440.1	none	0	none	none	3032	5600	0	100	CP008822.1706923.1709976	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	2191517	2191517	f	f	t	2191517	2191517	Complete Genome	ASM1660v1	na	PRJNA224116	SAMN02598389	none	none	none	2007-04-25	GCA_000016605.1	none	full	na	none	none	1	0	Metallosphaera sedula DSM 5348	none	representative genome	3	1	1	2191517	2191517	2191517	2007/04/25	0	43687	1	DSM 5348	US DOE Joint Genome Institute	399549	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula;x__Metallosphaera sedula DSM 5348	0	2191517	11	46	assembly from type material	2191517	0	na	2391	1	2191517	1	none	none	none	none	none	none	1495	NC_009440.1	1495	2761	0	100	CP012175.1705280.1706787	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	0	19	47	0
GB_GCA_035642715.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	JAJNBK01	JAJNBK01 sp035642715	0	95.73	1.17	Specific	100.0	3.44	145	k__Archaea (UID2)	103	40.0	2289799	67.92753009246074	253	1144896	33.96366121774791	3370944	GB_GCA_035642715.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JAJNBK01;s__JAJNBK01 sp035642715	not type material	none	f	41	41	83923	83923	none	0	none	none	60869	1	109	DASQRW010000075.1	none	none	none	none	none	none	13323	13323	f	f	t	22149	22149	Contig	ASM3564271v1	na	PRJNA983538	SAMN37946370	253	22149	none	2024-01-15	GCA_035642715.1	derived from metagenome	full	SMAG_U10893	none	none	0	0	Nitrososphaeraceae archaeon	none	na	3	none	none	none	none	none	2024/01/15	0	2169593	0	SMAG_U10893	Zhejiang University	2169593	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;x__unclassified Nitrososphaeraceae;s__Nitrososphaeraceae archaeon	0	3370944	11	45	na	3370944	0	DASQRW000000000.1	3952	253	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	45	0
GB_GCA_027460525.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp027460525	0	99.47	0.9	Specific	100.0	0.0	228	p__Euryarchaeota (UID49)	153	0.0	2186988	89.65446561217897	37	1077567	44.17431350620984	2439352	GB_GCA_027460525.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp027460525	not type material	none	f	9	9	244776	244776	87596	2	2907	JAPZAS010000014.1	87596	1	117	JAPZAS010000014.1	2912	4724	0	96.051	LKCM01000080.276.3198	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	65928	65928	t	f	f	99961	99961	Contig	ASM2746052v1	na	PRJNA866293	SAMN30160161	37	99961	USA: California; Lake County	2022-12-27	GCA_027460525.1	derived from metagenome	full	SR-VP_26_10_2019_1_100cm_44_19	sediments of a seasonal vernal pool	38.41 N 122.31 W	0	0	Candidatus Methanoperedens sp.	none	na	4	none	none	none	none	none	2022/12/27	0	2032688	1	SR-VP_26_10_2019_1_100cm_44_19	Jill Banfield's Lab at Berkeley	2032688	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;x__unclassified Candidatus Methanoperedens;s__Candidatus Methanoperedens sp.	0	2439352	11	51	na	2439352	0	JAPZAS000000000.1	2758	37	51369	1	none	none	none	none	none	none	1469	JAPZAS010000027.1	1462	2545	0	98.085	EU155918.1.1467	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanoperedenaceae;Candidatus Methanoperedens;uncultured archaeon	0	19	51	0
RS_GCF_021184045.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides orientis	0	99.99	0.04	Specific	100.0	0.0	228	p__Euryarchaeota (UID49)	153	0.0	2141797	85.87240925008079	1	1064627	42.68475744558693	2494162	RS_GCF_021184045.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides orientis	type strain of species	LPSN	f	1	1	2494162	2494162	2494162	5	2909	NZ_CP073710.1	2494162	9	117	NZ_CP073710.1	2852	5227	0	99.755	JRHO01000009.1875.4725	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides methylutens	2494162	2494162	t	f	f	2494162	2494162	Complete Genome	ASM2118404v1	na	PRJNA224116	SAMN18869927	none	none	China: East China Sea	2021-12-14	GCA_021184045.1	none	full	na	Marine sediment	30.81 N 122.82 E	1	0	Methanococcoides orientis	none	representative genome	19	1	1	2494162	2494162	2494162	2021/12/14	0	2822137	5	LMO-1	Shanghai Jiao Tong University	2822137	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides orientis	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides orientis	0	2494162	11	60	assembly from type material	2494162	0	na	2359	1	2494162	5	none	none	none	none	none	none	1480	NZ_CP073710.1-#4	1473	2676	0	99.525	FR733669.1.1468	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides methylutens	0	19	60	0
RS_GCF_000011105.1	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii	0	99.79	0.21	Specific	100.0	0.0	299	p__Euryarchaeota (UID4)	202	0.0	1599777	92.02027028970294	1	728068	41.87897072484692	1738505	RS_GCF_000011105.1	t	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus horikoshii	type strain of species	LPSN	f	1	1	1738505	1738505	1738505	1	3031	NC_000961.1	1738505	2	110	NC_000961.1	3013	5565	0	100	BA000001.192757.196614	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus horikoshii OT3	1738505	1738505	t	f	f	1738505	1738505	Complete Genome	ASM1110v1	na	PRJNA224116	SAMD00061090	none	none	none	2004-05-11	GCA_000011105.1	none	full	na	none	none	1	0	Pyrococcus horikoshii OT3	1852	representative genome	4	1	1	1738505	1738505	1738505	2004/05/11	0	53953	1	OT3	NITE	70601	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus horikoshii	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus horikoshii;x__Pyrococcus horikoshii OT3	0	1738505	11	46	assembly from type material	1738505	0	na	1881	1	1738505	1	none	none	none	none	none	none	1497	NC_000961.1	1495	2761	0	100	BA000001.190975.192469	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus horikoshii OT3	0	19	46	0
RS_GCF_002214365.1	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus celer	0	99.9	0.2	Specific	100.0	0.0	299	p__Euryarchaeota (UID4)	202	0.0	1691143	90.5895536739234	1	1053773	56.44751847929553	1866819	RS_GCF_002214365.1	t	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus celer	type strain of species	LPSN	t	1	1	1866819	1866819	1866819	1	3012	NZ_CP014854.1	1866819	2	103	NZ_CP014854.1	3012	5555	0	99.967	M67497.1.3029	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus celer	1866819	1866819	t	f	f	1866819	1866819	Complete Genome	ASM221436v1	na	PRJNA224116	SAMN03324154	none	none	Italy: volcano island	2017-07-05	GCA_002214365.1	none	full	na	hydrothermal fluid	none	1	0	Thermococcus celer Vu 13 = JCM 8558	1972	representative genome	4	1	1	1866819	1866819	1866819	2017/07/05	0	2264	1	Vu 13	Ecole Normale Superieure de Lyon	1293037	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus celer	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus celer;x__Thermococcus celer Vu 13 = JCM 8558	0	1866819	11	46	assembly from type material	1866819	0	na	1987	1	1866819	1	none	none	none	none	none	none	1486	NZ_CP014854.1	1486	2745	0	100	CP014854.1054445.1055954	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus celer	0	19	46	0
GB_GCA_000247545.1	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense	0	99.55	0.56	Specific	100.0	0.0	174	k__Archaea (UID146)	136	0.0	2178950	88.83086280840794	2	1350357	55.05100044029157	2452920	GB_GCA_000247545.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum oguniense	type strain of species	LPSN	f	1	1	2436033	2436033	2436033	1	3015	CP003316.1	none	0	none	none	3015	5568	0	100	CP003316.1433240.1436302	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum oguniense TE7	1226460	1226460	f	f	t	2436033	2436033	Complete Genome	ASM24754v1	na	PRJNA42375	SAMN02604076	none	none	Japan: Tsuetate Hot Spring; Kumamoto prefecture	2012-02-10	GCA_000247545.1	none	full	na	none	none	2	0	Pyrobaculum oguniense TE7	2835	na	3	2	1	2436033	2436033	2436033	2012/02/10	0	99007	0	TE7	UCSC-Lowelab	698757	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum oguniense	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum oguniense;x__Pyrobaculum oguniense TE7	0	2452920	11	48	assembly from type material	2452920	0	na	2943	2	2436033	2	none	none	none	none	none	none	1168	CP003316.1	1168	2158	0	100	CP003316.1430990.1433182	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum oguniense TE7	0	19	48	0
RS_GCF_900114585.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter olleyae	0	99.81	0.5	Specific	100.0	1.6	188	p__Euryarchaeota (UID3)	125	50.0	1625143	76.56941714363253	56	568885	26.80769390263212	2122444	RS_GCF_900114585.1	t	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae	type strain of species	LPSN	f	12	11	144849	144849	24288	1	3003	NZ_FOTL01000033.1	24288	1	118	NZ_FOTL01000033.1	3003	5533	0	99.933	CP014265.1263844.1266853	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter olleyae	37894	43315	t	f	f	46879	49511	Scaffold	IMG-taxon 2593339150 annotated assembly	na	PRJNA224116	SAMN02910297	56	46879	none	2016-11-02	GCA_900114585.1	none	full	na	none	none	0	0	Methanobrevibacter olleyae	1796	na	3	49	11	49511	37292	23133	2016/11/02	7	294671	1	DSM 16632	DOE - JOINT GENOME INSTITUTE	294671	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae	348	2122444	11	32	assembly from type material	2122096	0	FOTL00000000.1	1827	49	46879	1	1433	2641	0	99.93	104130	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	1478	NZ_FOTL01000013.1	1441	2656	0	99.931	CP014265.274144.275584	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter olleyae	348	18	32	0
GB_GCA_025340205.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Ignicoccaceae	Ignicoccus	Ignicoccus pacificus	0	99.9	0.28	Specific	100.0	0.84	245	c__Thermoprotei (UID148)	158	0.0	1531515	90.88802337250311	1	811819	48.17753939480978	1685057	GB_GCA_025340205.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus pacificus	type strain of species	LPSN	f	1	1	1685057	1685057	1685057	1	3034	CP006868.1	none	0	none	none	3036	5042	0	96.739	CP006867.388300.391334	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignicoccaceae;Ignicoccus;Ignicoccus islandicus DSM 13165	1685057	1685057	f	f	t	1685057	1685057	Complete Genome	ASM2534020v1	na	PRJNA61345	SAMN04316367	none	none	none	2022-09-21	GCA_025340205.1	none	full	na	none	none	1	0	Ignicoccus pacificus DSM 13166	none	na	2	1	1	1685057	1685057	1685057	2022/09/21	0	114376	1	DSM 13166	Oak Ridge National Laboratory	940294	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignicoccus;s__Ignicoccus pacificus	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignicoccus;s__Ignicoccus pacificus;x__Ignicoccus pacificus DSM 13166	0	1685057	11	48	assembly from type material	1685057	0	na	1906	1	1685057	1	none	none	none	none	none	none	1436	CP006868.1	1332	2442	0	99.775	AJ271794.1.1331	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignicoccaceae;Ignicoccus;Ignicoccus pacificus	0	19	47	0
GB_GCA_017656505.1	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus_A	Archaeoglobus_A sp017656505	0	99.62	1.25	Specific	100.0	1.31	228	p__Euryarchaeota (UID49)	153	0.0	2263158	89.64773632492124	95	1079371	42.755815901835646	2524501	GB_GCA_017656505.1	t	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_A;s__Archaeoglobus_A sp017656505	not type material	none	f	18	18	119540	119540	49099	1	279	JACDNU010000016.1	96384	1	116	JACDNU010000003.1	283	425	1.05e-117	93.993	CP006577.1947900.1950835	Archaea;Halobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus DSM 8774	26573	26573	f	f	t	44138	44138	Contig	ASM1765650v1	na	PRJNA635695	SAMN15049708	95	44138	Mexico: Guaymas Basin	2021-04-01	GCA_017656505.1	derived from metagenome	full	GB_MAG3_049	deep sea sediment sample 4871-20 in thermophilic enrichment culture	27.04618 N 111.38483 W	0	0	Archaeoglobus sp.	none	na	3	none	none	none	none	none	2021/04/01	0	1872626	1	GB_MAG3_049	Marine Biological Laboratory	1872626	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;x__unclassified Archaeoglobus;s__Archaeoglobus sp.	0	2524501	11	44	na	2524501	0	JACDNU000000000.1	2799	95	40175	1	none	none	none	none	none	none	352	JACDNU010000020.1	351	597	3.06e-169	97.436	DQ228620.1.1372	Archaea;Halobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;uncultured archaeon	0	19	44	0
